year,type,province,brand,model,fuel_type,mass,power,sales,weighted_Avg_Price,market_share,market_size_x,market_size_y
2019,国产新能源乘用车,上海市,领克,领克02,插电式汽油混合动力,2104.0,60.0,87.0,0.0,9.117291414752116e-06,9542307.692307692,954.2307692307692
2019,国产新能源乘用车,上海市,领克,领克03,插电式汽油混合动力,2105.0,60.0,50.0,0.0,5.239822652156388e-06,9542307.692307692,954.2307692307692
2019,国产新能源乘用车,云南省,东南,东南DX3,纯电动,2015.0,90.0,9.0,0.0,4.963937208315655e-07,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,东风风行,景逸S50,纯电动,2036.0,92.0,30.0,0.0,1.6546457361052183e-06,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,东风风行,菱智,纯电动,2525.0,90.0,2.0,0.0,1.1030971574034789e-07,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,丰田,卡罗拉,插电式汽油混合动力,1975.0,53.0,34.0,0.0,1.875265167585914e-06,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,丰田,雷凌,插电式汽油混合动力,1975.0,53.0,30.0,0.0,1.6546457361052183e-06,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,众泰,众泰E200,纯电动,1270.0,60.0,16.0,0.0,8.824777259227831e-07,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,传祺,传祺GE3,纯电动,2080.0,132.0,3.0,0.0,1.6546457361052183e-07,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,吉利,博瑞GE,插电式汽油混合动力,2165.0,81.6,40.0,0.0,2.2061943148069578e-06,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,吉利,嘉际,插电式汽油混合动力,2371.0,60.0,4.0,0.0,2.2061943148069578e-07,18130769.230769232,1813.076923076923
2019,国产新能源乘用车,云南省,吉利,帝豪,纯电动,1970.0,120.0,821.0,0.0,4.528213831141281e-05,18130769.230769232,1813.076923076923
