year,type,province,brand,model,fuel_type,mass,power,sales,weighted_Avg_Price,market_size,market_share,province_id,brand_id,model_id,product_id,market_id,charging_stations_stock,sum_rival_mass,sum_rival_power,euclidean_mass,euclidean_power,local_mass,local_power
2019,国产新能源乘用车,上海市,沃尔沃,沃尔沃S90,插电式汽油混合动力,2620.0,96.95156695156695,351,45.63999999999999,9542307.692307692,3.678355501813785e-05,P01,B19,M01,B19M01,P01Y2019,55113,874081.2283513402,47856.76740730243,2.2410627e+08,816865.9,71,374
2019,国产新能源乘用车,上海市,沃尔沃,沃尔沃XC60,插电式汽油混合动力,2660.0,243.0576923076923,208,42.63999999999999,9542307.692307692,2.179766223297058e-05,P01,B19,M02,B19M02,P01Y2019,55113,874041.2283513402,47710.661281946304,2.4710938e+08,8.711951e+06,68,16
2019,国产新能源乘用车,上海市,猎豹,猎豹CS9,纯电动,2018.055555555556,90.0,18,0.0,9542307.692307692,1.8863361547763e-06,P01,B20,M01,B20M01,P01Y2019,55113,874683.1727957847,47863.718974254,4.83505e+07,910446.5,328,368
2019,国产新能源乘用车,上海市,现代,伊兰特EV,纯电动,1845.0,81.4,1,0.0,9542307.692307692,1.047964530431278e-07,P01,B21,M01,B21M01,P01Y2019,55113,874856.2283513402,47872.318974254,5.696779e+07,1.0851989e+06,348,359
2019,国产新能源乘用车,上海市,现代,索纳塔九,插电式汽油混合动力,2230.0,50.0,48,0.0,9542307.692307692,5.030229746070133e-06,P01,B21,M02,B21M02,P01Y2019,55113,874471.2283513402,47903.718974254,7.378172e+07,2.277144e+06,252,265
2019,国产新能源乘用车,上海市,现代,领动,插电式汽油混合动力,2000.0,44.5,2,0.0,9542307.692307692,2.095929060862556e-07,P01,B21,M03,B21M03,P01Y2019,55113,874701.2283513402,47909.218974254,4.8015388e+07,2.575425e+06,332,232
2019,国产新能源乘用车,上海市,祺智,祺智EV,纯电动,2080.0,132.0,21,13.48,9542307.692307692,2.200725513905683e-06,P01,B22,M01,B22M01,P01Y2019,55113,874621.2283513402,47821.718974254,5.168559e+07,994218.1,305,388
2019,国产新能源乘用车,上海市,福特,蒙迪欧,插电式汽油混合动力,2233.0,93.65,200,18.43,9542307.692307692,2.095929060862555e-05,P01,B23,M01,B23M01,P01Y2019,55113,874468.2283513402,47860.068974254,7.442606e+07,855996.6,248,368
2019,国产新能源乘用车,上海市,福特,领界,纯电动,2135.0,120.0,3,13.73,9542307.692307692,3.143893591293833e-07,P01,B23,M02,B23M02,P01Y2019,55113,874566.2283513402,47833.718974254,5.748328e+07,811523.4,287,396
2019,国产新能源乘用车,上海市,红旗,红旗E-HS3,纯电动,2270.0,114.0,4,24.58,9542307.692307692,4.191858121725111e-07,P01,B24,M01,B24M01,P01Y2019,55113,874431.2283513402,47839.718974254,8.3025624e+07,767804.0,236,399
2019,国产新能源乘用车,上海市,红旗,红旗H7,插电式汽油混合动力,2460.0,95.71428571428571,14,23.43,9542307.692307692,1.467150342603789e-06,P01,B24,M02,B24M02,P01Y2019,55113,874241.2283513402,47858.00468853972,1.4620586e+08,830404.0,128,371
2019,国产新能源乘用车,上海市,腾势,腾势,纯电动,2480.0,135.0,2,31.38,9542307.692307692,2.095929060862556e-07,P01,B25,M01,B25M01,P01Y2019,55113,874221.2283513402,47818.718974254,1.547086e+08,1.0597368e+06,113,387
2019,国产新能源乘用车,上海市,荣威,荣威Ei5,纯电动,1975.767568619817,85.24605801051197,5137,14.68,9542307.692307692,0.0005383393792825474,P01,B26,M01,B26M01,P01Y2019,55113,874725.4607827204,47868.47291624349,4.8017544e+07,998983.56,336,364
2019,国产新能源乘用车,上海市,荣威,荣威RX5 eMAX,插电式汽油混合动力,2311.0,90.0,57,17.98,9542307.692307692,5.973397823458283e-06,P01,B26,M02,B26M02,P01Y2019,55113,874390.2283513402,47863.718974254,9.396518e+07,910446.5,220,368
