province,year,charging_stations_stock,EV_stock,road_length,yearly_gas_price_avg,shift_share_IV,road_fuel_IV,num_models_in_market,sales_weighted_avg_range,sub_fix,sub_ope,time_trend
Hunan,2020,18554.0,134895,240566.0,5803.269444444445,892871775036.0,1396069317.1722224,162.0,265.88177353413295,0.0,0.0,2
Hunan,2021,27095.0,213190,241138.0,7802.940277777777,1152844366162.0,1881585412.7027776,190.0,261.7791727231828,0.0,0.0,3
Hunan,2022,41336.0,362991,241940.0,9194.876388888888,1846272205040.0,2224608393.5277777,194.0,250.8084934191269,0.0,0.0,4
Hunan,2023,48710.0,430226,242420.0,9157.885714285714,3111577546440.0,2220054654.857143,231.0,276.01768926602546,250.0,0.0,5
Gansu,2019,3426.0,17750,142228.0,7023.074285714286,369560541676.0,998877809.5085716,120.0,257.17788970948874,0.0,0.0,1
Gansu,2020,4377.0,21366,151443.0,5803.269444444445,575615155410.0,878864534.4750001,144.0,254.87781288654995,0.0,0.0,2
Gansu,2021,5637.0,32827,155957.0,7802.940277777777,763312509746.0,1216923156.9013886,173.0,250.7296148401932,0.0,0.0,3
Gansu,2022,8088.0,57558,156683.0,9194.876388888888,1223925964157.0,1440680817.2402775,187.0,208.73352602219225,0.0,0.0,4
Gansu,2023,11157.0,71520,157243.0,9157.885714285714,2066316897345.0,1440013423.3714285,209.0,224.09760095056845,0.0,0.0,5
Fujian,2019,17074.0,121878,108901.0,7023.074285714286,276257769879.0,764819812.7885715,126.0,261.27595001018545,0.0,0.0,1
Fujian,2020,25926.0,148462,109785.0,5803.269444444445,405846820470.0,637111935.9583334,159.0,260.70464935327595,0.0,0.0,2
Fujian,2021,39853.0,220325,110118.0,7802.940277777777,524963559276.0,859244177.5083332,194.0,264.9084017094873,0.0,0.0,3
Fujian,2022,67299.0,362061,111031.0,9194.876388888888,846498234411.0,1020916320.3347222,198.0,262.52445888371966,0.0,0.2,4
Fujian,2023,84918.0,433891,112878.0,9157.885714285714,1448948513736.0,1033723823.6571428,227.0,292.0969226079501,0.0,0.2,5
Tibet,2019,18.0,733,97785.0,7023.074285714286,255375208215.0,686751319.0285715,105.0,267.0096694046694,0.0,0.0,1
Tibet,2020,193.0,1137,103951.0,5803.269444444445,396873171537.0,603255662.0194445,122.0,294.2114509926952,0.0,0.0,2
Tibet,2021,391.0,1782,118238.0,7802.940277777777,581093302466.0,922604052.5638888,150.0,293.81563139458086,0.0,0.0,3
Tibet,2022,557.0,3383,120132.0,9194.876388888888,942138093168.0,1104598890.35,155.0,231.41514907427367,0.0,0.0,4
Tibet,2023,898.0,5328,120852.0,9157.885714285714,1594653016680.0,1106748804.3428571,156.0,243.155133141368,0.0,0.0,5
Guizhou,2019,3207.0,41303,196808.0,7023.074285714286,508041155240.0,1382197204.0228572,127.0,264.7770430682853,0.0,0.0,1
Guizhou,2020,4902.0,48183,204723.0,5803.269444444445,773303668191.0,1188062730.475,157.0,273.8619867317772,0.0,0.0,2
Guizhou,2021,9355.0,84258,206693.0,7802.940277777777,1006090785773.0,1612813134.834722,190.0,278.2000810504369,200.0,0.15,3
Guizhou,2022,20261.0,172483,207190.0,9194.876388888888,1607804345120.0,1905086439.0138888,198.0,262.6145468023089,200.0,0.15,4
Guizhou,2023,28909.0,212549,209617.0,9157.885714285714,2730468945830.0,1919648529.7714288,227.0,280.892752046898,200.0,0.15,5
Liaoning,2019,6044.0,25811,122974.0,7023.074285714286,318939832570.0,863655537.2114286,121.0,244.12492786229504,0.0,0.0,1
Liaoning,2020,8258.0,33289,124767.0,5803.269444444445,473217400503.0,724056518.7750001,150.0,238.84976491665543,0.0,0.0,2
Liaoning,2021,10285.0,59687,130899.0,7802.940277777777,639108477045.0,1021397079.4208332,181.0,237.60255359976145,0.0,0.0,3
Liaoning,2022,12907.0,128119,131688.0,9194.876388888888,1025140906872.0,1210854881.9,192.0,219.81641336777744,0.0,0.0,4
Liaoning,2023,16277.0,186510,131865.0,9157.885714285714,1723522230210.0,1207604599.7142856,219.0,238.20965128874465,0.0,0.0,5
Chongqing,2019,11245.0,64495,157483.0,7023.074285714286,404080905210.0,1106014807.7371428,123.0,275.4909310430043,0.0,0.0,1
Chongqing,2020,17533.0,94038,174284.0,5803.269444444445,654283921500.0,1011417011.8555557,157.0,285.72268146987955,0.0,0.0,2
Chongqing,2021,20608.0,161673,180796.0,7802.940277777777,871745157976.0,1410740390.4611108,189.0,272.6670446596982,0.0,0.0,3
Chongqing,2022,38512.0,276327,184106.0,9194.876388888888,1414418831098.0,1692831912.4527776,199.0,270.7917505644318,200.0,0.2,4
Chongqing,2023,48588.0,351286,186137.0,9157.885714285714,2405289490002.0,1704621373.2,225.0,290.67007362024026,200.0,0.2,5
Shaanxi,2019,14857.0,92548,177128.0,7023.074285714286,451925441968.0,1243983102.08,126.0,241.7781011653678,0.0,0.0,1
Shaanxi,2020,25569.0,111577,180070.0,5803.269444444445,670953785040.0,1044994728.8611112,155.0,254.13838550238347,0.0,0.0,2
Shaanxi,2021,34738.0,171366,180660.0,7802.940277777777,867920810220.0,1409679190.5833333,190.0,247.86012564774543,0.0,0.0,3
Shaanxi,2022,48277.0,304389,183414.0,9194.876388888888,1407324617160.0,1686469057.9916666,197.0,232.161878022868,0.0,0.0,4
Shaanxi,2023,54512.0,392849,185607.0,9157.885714285714,2393232248988.0,1699767693.7714286,225.0,263.48338475621847,0.0,0.0,5
Qinghai,2019,947.0,4088,82137.0,7023.074285714286,214321224018.0,576854252.6057143,110.0,280.1430222927244,0.0,0.0,1
Qinghai,2020,1115.0,4684,83761.0,5803.269444444445,319509014852.0,486087651.9361112,127.0,269.78835926576664,0.0,0.0,2
Qinghai,2021,1784.0,6874,85131.0,7802.940277777777,418083448860.0,664272108.7874999,156.0,250.27921984699043,0.0,0.0,3
Qinghai,2022,2326.0,10836,86152.0,9194.876388888888,675210441664.0,792156990.6555555,155.0,211.91497925627377,0.0,0.0,4
Qinghai,2023,3034.0,15666,87726.0,9157.885714285714,1156898643462.0,803384682.1714286,187.0,241.01144571883643,0.0,0.0,5
Heilongjiang,2019,2666.0,17829,167116.0,7023.074285714286,434414532564.0,1173668082.3314283,116.0,250.08378458846283,0.0,0.0,1
Heilongjiang,2020,4860.0,19475,168710.0,5803.269444444445,641231449610.0,979069587.9722224,138.0,241.10722024392177,0.0,0.0,2
Heilongjiang,2021,7070.0,25420,168119.0,7802.940277777777,823155848011.0,1311822516.559722,172.0,237.1539215450771,0.0,0.0,3
Heilongjiang,2022,9015.0,41816,168354.0,9194.876388888888,1316340733644.0,1547994219.5749998,184.0,209.0579984405217,0.0,0.0,4
Heilongjiang,2023,9748.0,61788,168958.0,9157.885714285714,2222922453406.0,1547298054.5142858,196.0,217.3033538084715,0.0,0.0,5
