year,type,province,brand,model,fuel_type,mass,power,sales,weighted_Avg_Price
2019,国产新能源乘用车,云南省,长安,逸动,插电式汽油混合动力,1975.0,80.0,1.0,8.840000000000002
2019,国产新能源乘用车,云南省,长安,逸动,纯电动,2025.0,100.0,32.0,8.840000000000002
2019,国产新能源乘用车,云南省,长安,长安CS15,纯电动,1905.0,55.0,8.0,6.940000000000001
2019,国产新能源乘用车,云南省,长安,长安CS75,插电式汽油混合动力,2445.0,13.529411764705882,17.0,11.14
2019,国产新能源乘用车,云南省,长安欧尚,长行,纯电动,1970.0,90.0,1.0,6.24
2019,国产新能源乘用车,云南省,领克,领克01,插电式汽油混合动力,2237.595744680851,93.70212765957447,47.0,18.635
2019,国产新能源乘用车,内蒙古自治区,东南,东南DX3,纯电动,2015.0,90.0,4.0,9.59
2019,国产新能源乘用车,内蒙古自治区,丰田,卡罗拉,插电式汽油混合动力,1975.0,53.0,3.0,13.48
2019,国产新能源乘用车,内蒙古自治区,丰田,雷凌,插电式汽油混合动力,1975.0,53.0,38.0,13.229999999999999
2019,国产新能源乘用车,内蒙古自治区,凯迪拉克,凯迪拉克CT6,插电式汽油混合动力,2470.0,296.0,1.0,42.47
2019,国产新能源乘用车,内蒙古自治区,吉利,博瑞GE,插电式汽油混合动力,2165.0,63.42857142857143,21.0,15.829999999999998
2019,国产新能源乘用车,内蒙古自治区,吉利,嘉际,插电式汽油混合动力,2371.0,60.0,18.0,13.129999999999999
2019,国产新能源乘用车,内蒙古自治区,吉利,帝豪,纯电动,1970.0,120.0,5.0,9.985
2019,国产新能源乘用车,内蒙古自治区,吉利,帝豪GL,插电式汽油混合动力,2025.0,60.0,2.0,10.03
2019,国产新能源乘用车,内蒙古自治区,吉利,帝豪GSe,纯电动,2010.0,120.0,31.0,13.49
2019,国产新能源乘用车,内蒙古自治区,吉利,缤越,插电式汽油混合动力,1923.0,60.0,2.0,9.780000000000001
2019,国产新能源乘用车,内蒙古自治区,启辰,启辰D60,纯电动,1950.0,120.0,1.0,10.530000000000001
2019,国产新能源乘用车,内蒙古自治区,大众,帕萨特,插电式汽油混合动力,2190.0,85.0,148.0,21.740000000000002
2019,国产新能源乘用车,内蒙古自治区,大众,途观L,插电式汽油混合动力,2300.0,85.3012048192771,83.0,22.974999999999994
2019,国产新能源乘用车,内蒙古自治区,奥迪,奥迪A6L,插电式汽油混合动力,2477.0,140.0,31.0,54.235
2019,国产新能源乘用车,内蒙古自治区,宝马,宝马5系,插电式汽油混合动力,2495.0,70.0,99.0,49.95
2019,国产新能源乘用车,内蒙古自治区,宝马,宝马X1,插电式汽油混合动力,2340.0,78.57142857142857,7.0,31.94
2019,国产新能源乘用车,内蒙古自治区,宝骏,宝骏E100,纯电动,990.0,29.0,11.0,5.230000000000001
2019,国产新能源乘用车,内蒙古自治区,小鹏,小鹏G3,纯电动,2036.0,145.0,5.0,18.54
